area_no,work_type,has_position,voy_id,planned_qty
E5,OF/OZ/IF/IZ/T,1,453396,49
E5,OF/OZ/IF/IZ/T,1,453412,36
E5,OF/OZ/IF/IZ/T,1,453416,29
E5,OF/OZ/IF/IZ/T,1,454447,2
E5,OF/OZ/IF/IZ/T,1,454585,12
E6,OF/OZ/IF/IZ/T,1,453308,29
E6,OF/OZ/IF/IZ/T,1,453324,19
E6,OF/OZ/IF/IZ/T,1,453356,6
E6,OF/OZ/IF/IZ/T,1,453396,46
E6,OF/OZ/IF/IZ/T,1,453412,31
E6,OF/OZ/IF/IZ/T,1,453416,17
E6,OF/OZ/IF/IZ/T,1,454447,14
E6,OF/OZ/IF/IZ/T,1,454585,1
E7,OF/OZ/IF/IZ/T,1,453308,57
E7,OF/OZ/IF/IZ/T,1,453324,14
E7,OF/OZ/IF/IZ/T,1,453356,15
E7,OF/OZ/IF/IZ/T,1,453396,51
E7,OF/OZ/IF/IZ/T,1,453412,29
E7,OF/OZ/IF/IZ/T,1,453416,19
E7,OF/OZ/IF/IZ/T,1,454447,12
E8,OF/OZ/IF/IZ/T,1,453307,787
E8,OF/OZ/IF/IZ/T,1,453308,18
E8,OF/OZ/IF/IZ/T,1,453324,4
E8,OF/OZ/IF/IZ/T,1,453356,4
E8,OF/OZ/IF/IZ/T,1,453388,2
E8,OF/OZ/IF/IZ/T,1,453396,56
E8,OF/OZ/IF/IZ/T,1,453412,70
E8,OF/OZ/IF/IZ/T,1,453416,42
E8,OF/OZ/IF/IZ/T,1,454447,16
E8,OF/OZ/IF/IZ/T,1,454585,6
E9,OF/OZ/IF/IZ/T,1,453273,753
E9,OF/OZ/IF/IZ/T,1,453308,46
E9,OF/OZ/IF/IZ/T,1,453324,74
E9,OF/OZ/IF/IZ/T,1,453356,17
E9,OF/OZ/IF/IZ/T,1,453388,31
E9,OF/OZ/IF/IZ/T,1,453396,21
E9,OF/OZ/IF/IZ/T,1,453412,61
E9,OF/OZ/IF/IZ/T,1,453416,36
E9,OF/OZ/IF/IZ/T,1,454447,6
E9,OF/OZ/IF/IZ/T,1,454585,6
EA,OF/OZ/IF/IZ/T,1,453307,271
EA,OF/OZ/IF/IZ/T,1,453308,48
EA,OF/OZ/IF/IZ/T,1,453324,92
EA,OF/OZ/IF/IZ/T,1,453356,21
EA,OF/OZ/IF/IZ/T,1,453388,8
EA,OF/OZ/IF/IZ/T,1,453396,80
EA,OF/OZ/IF/IZ/T,1,453412,64
EA,OF/OZ/IF/IZ/T,1,453416,66
EA,OF/OZ/IF/IZ/T,1,454447,8
EA,OF/OZ/IF/IZ/T,1,454585,8
EB,OF/OZ/IF/IZ/T,1,453308,10
EB,OF/OZ/IF/IZ/T,1,453324,69
EB,OF/OZ/IF/IZ/T,1,453356,29
EB,OF/OZ/IF/IZ/T,1,453388,16
EB,OF/OZ/IF/IZ/T,1,453396,63
EB,OF/OZ/IF/IZ/T,1,453412,36
EB,OF/OZ/IF/IZ/T,1,453416,36
EB,OF/OZ/IF/IZ/T,1,454447,3
EC,OF/OZ/IF/IZ/T,1,453308,100
EC,OF/OZ/IF/IZ/T,1,453324,74
EC,OF/OZ/IF/IZ/T,1,453356,45
EC,OF/OZ/IF/IZ/T,1,453388,24
EC,OF/OZ/IF/IZ/T,1,453396,86
EC,OF/OZ/IF/IZ/T,1,453412,74
EC,OF/OZ/IF/IZ/T,1,453416,32
EC,OF/OZ/IF/IZ/T,1,454447,1
EC,OF/OZ/IF/IZ/T,1,454585,2
ED,OF/OZ/IF/IZ/T,1,453308,70
ED,OF/OZ/IF/IZ/T,1,453324,19
ED,OF/OZ/IF/IZ/T,1,453356,41
ED,OF/OZ/IF/IZ/T,1,453388,2
ED,OF/OZ/IF/IZ/T,1,453396,101
ED,OF/OZ/IF/IZ/T,1,453412,104
ED,OF/OZ/IF/IZ/T,1,453416,31
ED,OF/OZ/IF/IZ/T,1,454585,1
EE,OF/OZ/IF/IZ/T,1,453308,76
EE,OF/OZ/IF/IZ/T,1,453324,43
EE,OF/OZ/IF/IZ/T,1,453396,4
EE,OF/OZ/IF/IZ/T,1,453412,77
EE,OF/OZ/IF/IZ/T,1,453416,42
EE,OF/OZ/IF/IZ/T,1,454447,5
